Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
radio434mhz,071E6661,2025-05-27 19:51:36.195234Z,-107,39.001049,-74.914419
bluetooth,870614B1,2025-05-27 19:51:36.537490Z,-70,39.001049,-74.914419,32952,2,0,1561,21.93
bluetooth,23D9727E,2025-05-27 19:51:38.242789Z,-56,39.001049,-74.914420,57903,2,0,1554,33.38
radio434mhz,071E6661,2025-05-27 19:51:39.414591Z,-106,39.001049,-74.914419
bluetooth,870614B1,2025-05-27 19:51:39.559614Z,-71,39.001049,-74.914419,8104,2,0,1560,21.98
radio434mhz,1E336107,2025-05-27 19:51:39.851714Z,-84,39.001049,-74.914419
userLocation,user,2025-05-27 19:51:40.028797Z,0,39.001049,-74.914419
bluetooth,77AAF9E2,2025-05-27 19:51:40.050439Z,-85,39.001049,-74.914419,42351,1,0,1617,25.70
bluetooth,2172633A,2025-05-27 19:51:40.436686Z,-82,39.001049,-74.914419,20281,2,0,1563,22.56
bluetooth,23D9727E,2025-05-27 19:51:41.313892Z,-56,39.001050,-74.914418,60942,2,0,1553,33.66
bluetooth,3F9E3319,2025-05-27 19:51:42.046572Z,-84,39.001051,-74.914418,20522,1,0,1605,26.46
radio434mhz,071E6661,2025-05-27 19:51:42.532656Z,-108,39.001051,-74.914418
bluetooth,23D9727E,2025-05-27 19:51:44.337157Z,-56,39.001052,-74.914417,55174,2,0,1555,33.68
radio434mhz,1E336107,2025-05-27 19:51:45.018814Z,-84,39.001052,-74.914417
